Дата,UserID,Продукт,Количество,Цена
2023-08-23,1555,Товар3,3,97.86
2023-10-23,3777,Товар5,10,88.46
2024-07-06,9892,Товар5,8,36.7
2023-10-02,7017,Товар2,4,45.25
2024-05-13,1087,Товар5,3,44.52
2023-08-12,1912,Товар4,10,88.38
2023-10-26,3600,Товар5,1,83.5
2024-04-21,4863,Товар5,2,95.32
2024-02-05,9705,Товар2,2,18.41
2024-04-13,1326,Товар5,4,16.6
2024-01-04,8382,Товар2,8,16.17
2023-11-24,1211,Товар5,4,52.98
2024-06-30,8210,Товар5,4,61.96
2023-10-07,2611,Товар4,1,85.29
2023-09-26,2112,Товар1,4,61.42
2023-11-30,4053,Товар2,9,67.56
2024-05-31,8354,Товар5,3,76.82
2024-06-30,5078,Товар3,4,11.73
2023-12-17,6723,Товар3,10,14.61
2023-09-02,7831,Товар4,3,54.03
2024-06-21,3856,Товар5,2,44.87
2023-09-13,7674,Товар2,10,75.5
2024-04-20,9395,Товар2,5,55.44
2023-11-30,8201,Товар3,2,87.29
2023-12-13,6029,Товар5,8,16.57
2023-08-18,4679,Товар4,1,96.65
2024-04-18,3916,Товар2,4,90.26
2023-08-25,1140,Товар3,1,96.91
2023-09-02,8334,Товар5,10,98.09
2024-03-14,1252,Товар3,4,15.9
2024-06-29,2315,Товар5,2,96.05
2024-04-13,1273,Товар4,2,57.51
2023-09-11,7112,Товар3,7,71.3
2024-01-15,5717,Товар2,1,87.66
2023-10-29,8352,Товар1,10,93.94
2024-07-23,5257,Товар1,4,22.36
2023-09-25,4262,Товар3,8,35.48
2024-01-12,2433,Товар3,10,40.01
2023-12-15,4871,Товар1,8,31.44
2023-11-06,2183,Товар4,3,58.92
2024-04-28,8355,Товар3,8,65.12
2023-11-07,3793,Товар1,3,27.06
2023-09-14,3441,Товар1,7,42.02
2024-05-29,7940,Товар5,7,60.8
2024-05-09,3388,Товар1,10,19.74
2023-09-11,8935,Товар5,10,16.08
2023-10-22,5581,Товар5,5,45.14
2023-08-19,2388,Товар4,1,40.11
2024-06-24,7927,Товар3,2,97.59
2024-04-09,5250,Товар3,9,38.29
2024-01-01,5105,Товар1,8,30.89
2024-05-16,7214,Товар5,7,49.0
2023-08-01,4057,Товар2,10,75.95
2024-01-14,7683,Товар1,8,93.61
2023-11-06,1547,Товар2,6,59.02
2024-07-16,3373,Товар2,4,67.69
2024-01-29,4982,Товар1,7,23.35
2024-03-23,8663,Товар1,7,15.28
2023-08-08,3014,Товар5,10,15.05
2024-02-17,4146,Товар3,2,65.35
2023-07-25,8587,Товар2,6,90.54
2024-07-23,1592,Товар4,6,15.79
2024-04-12,7842,Товар2,9,65.97
2024-07-11,4400,Товар4,7,91.44
2024-04-15,2947,Товар2,6,86.08
2023-08-14,3866,Товар4,4,52.52
2024-06-08,4009,Товар1,10,59.98
2023-10-12,2679,Товар2,7,75.38
2023-08-31,9816,Товар3,8,71.91
2024-06-20,1964,Товар1,10,90.65
2024-04-01,2900,Товар3,9,60.13
2023-10-18,8273,Товар2,8,27.8
2024-03-17,8912,Товар5,4,56.4
2024-06-11,2243,Товар5,10,96.4
2024-05-04,7931,Товар2,9,99.84
2023-10-11,8501,Товар1,7,94.41
2023-11-22,4940,Товар5,10,48.91
2024-02-13,4436,Товар5,4,59.16
2023-11-13,7760,Товар5,10,34.27
2023-08-24,4523,Товар1,9,82.71
2023-11-06,6693,Товар1,3,24.63
2023-08-19,1095,Товар4,2,55.25
2024-02-08,9203,Товар5,7,65.31
2024-03-08,8663,Товар2,9,73.99
2024-03-04,8337,Товар3,2,97.75
2024-03-11,4601,Товар1,1,38.66
2023-11-08,3881,Товар3,2,65.85
2023-11-05,8604,Товар4,7,41.19
2024-07-11,7873,Товар5,3,89.65
2023-12-05,1341,Товар3,10,23.92
2024-04-18,2105,Товар4,2,24.11
2024-07-24,4337,Товар1,10,36.0
2023-09-30,5939,Товар3,2,22.69
2024-03-13,2630,Товар2,5,64.83
2024-05-21,1159,Товар3,4,36.14
2024-04-09,1351,Товар5,9,64.12
2023-08-03,4904,Товар1,3,80.05
2023-09-15,8167,Товар1,7,49.56
2023-11-01,6683,Товар1,9,75.77
2024-02-08,6110,Товар4,7,74.05
2023-11-03,6400,Товар5,9,69.03
2024-04-13,7718,Товар3,5,23.87
2023-09-17,1813,Товар1,4,32.23
2023-10-10,8027,Товар4,9,72.68
2024-02-27,7136,Товар3,6,28.22
2024-01-09,9724,Товар1,10,37.77
2024-04-04,5821,Товар4,3,73.35
2024-06-11,7017,Товар4,5,99.46
2024-02-28,5154,Товар1,9,35.63
2023-09-07,4998,Товар3,1,46.69
2023-11-01,8310,Товар3,1,94.4
2024-03-03,8323,Товар4,9,52.51
2024-03-05,7945,Товар4,3,60.91
2024-01-15,4509,Товар5,2,84.36
2024-06-29,7646,Товар1,2,36.33
2023-08-04,9869,Товар2,4,79.72
2024-07-14,3612,Товар5,10,52.92
2024-01-27,8357,Товар1,5,60.96
2024-06-04,9043,Товар5,4,33.7
2023-10-17,8817,Товар4,6,47.43
2023-08-28,6324,Товар1,1,83.28
2024-03-13,8635,Товар1,7,82.63
2024-02-09,7868,Товар2,7,61.19
2023-12-13,3864,Товар3,8,99.77
2024-02-08,8800,Товар5,10,10.38
2024-05-19,4160,Товар4,2,36.19
2024-07-01,1879,Товар2,1,68.78
2023-10-16,3077,Товар5,6,21.06
2023-08-14,5119,Товар4,2,90.24
2023-08-21,2177,Товар2,10,24.75
2024-04-26,1715,Товар5,8,69.1
2024-05-19,4348,Товар3,7,77.69
2023-08-29,4167,Товар1,8,51.83
2024-07-13,2372,Товар3,4,37.03
2023-08-01,6948,Товар5,3,74.56
2024-05-01,4961,Товар2,4,34.86
2023-08-09,8878,Товар3,7,19.54
2024-07-22,9900,Товар3,10,44.0
2024-02-05,7580,Товар4,7,79.74
2024-04-28,5821,Товар4,1,25.16
2023-09-14,1856,Товар5,2,83.1
2024-06-17,4780,Товар2,3,20.11
2023-12-19,9127,Товар5,6,83.14
2024-05-19,3382,Товар5,7,50.33
2023-10-21,3077,Товар4,8,31.32
2023-08-08,6402,Товар4,5,35.5
2023-11-12,9479,Товар5,10,79.67
2023-09-15,6493,Товар4,9,12.46
2024-04-08,8403,Товар2,7,87.92
2024-04-14,6270,Товар5,6,73.16
2024-01-21,7024,Товар5,10,48.03
2024-01-19,2328,Товар4,4,98.22
2024-01-10,7062,Товар4,3,26.12
2024-05-30,9991,Товар4,4,23.14
2023-09-05,3666,Товар1,10,28.36
2023-11-03,5249,Товар4,4,53.9
2023-09-07,6782,Товар4,8,57.63
2024-07-07,4222,Товар1,2,15.93
2023-12-16,2401,Товар1,4,90.88
2024-06-01,4238,Товар3,1,27.57
2023-11-22,8548,Товар2,7,83.61
2024-05-04,3933,Товар4,9,21.27
2024-04-25,3460,Товар2,2,49.09
2024-02-26,4075,Товар5,3,91.97
2024-03-13,6353,Товар5,10,73.66
2023-10-03,1139,Товар3,4,23.86
2024-05-17,1510,Товар4,2,83.69
2023-12-22,9403,Товар1,4,57.79
2023-12-20,1685,Товар2,1,16.59
2023-07-30,2485,Товар3,3,67.42
2023-11-07,8775,Товар1,8,41.49
2023-11-08,3998,Товар2,5,96.22
2023-09-29,3680,Товар4,5,59.75
2023-08-02,4501,Товар2,3,90.95
2024-03-22,2841,Товар4,7,61.31
2024-02-16,9723,Товар2,8,86.84
2024-05-05,1924,Товар2,5,87.27
2023-07-27,9824,Товар3,10,18.31
2023-09-21,2661,Товар5,1,99.18
2023-12-24,4496,Товар5,9,31.59
2023-09-25,8414,Товар1,9,75.08
2023-09-14,6597,Товар2,5,49.43
2024-07-11,7792,Товар1,7,53.49
2024-03-06,6856,Товар3,10,40.76
2024-03-18,4205,Товар5,3,66.7
2024-04-21,3215,Товар2,2,48.95
2024-04-15,2519,Товар4,4,92.49
2024-03-31,6991,Товар4,10,25.47
2024-01-12,2277,Товар2,6,12.99
2024-05-14,1297,Товар4,5,69.61
2023-08-02,9698,Товар2,4,91.9
2024-07-23,7912,Товар5,9,92.67
2024-04-23,1426,Товар2,8,27.04
2024-05-22,9488,Товар3,3,60.9
2023-09-16,3806,Товар2,5,88.81
2024-02-24,2293,Товар1,6,84.94
2023-10-16,1417,Товар4,9,87.21
2024-04-25,3547,Товар1,6,98.24
2023-08-04,7172,Товар3,10,88.7
2023-12-08,5040,Товар2,6,14.91
2023-12-06,9601,Товар4,10,24.48
2023-09-02,9802,Товар2,6,82.64
2024-01-22,3921,Товар5,3,54.01
2023-09-13,4574,Товар4,8,41.53
2024-03-25,1555,Товар4,4,10.24
2023-08-26,1168,Товар4,6,36.45
2024-02-15,8125,Товар3,5,67.38
2024-05-02,4800,Товар5,8,23.61
2024-04-21,9321,Товар2,1,10.85
2024-06-27,2218,Товар2,7,70.69
2024-01-26,4884,Товар1,2,13.39
2024-01-04,1891,Товар5,5,54.35
2024-07-05,7915,Товар3,5,47.12
2023-09-11,5928,Товар1,10,89.35
2023-11-16,6613,Товар5,2,63.5
2023-09-27,6471,Товар1,7,84.96
2023-11-28,3998,Товар4,2,87.38
2023-08-01,8912,Товар5,2,25.28
2024-07-05,4782,Товар3,3,48.55
2024-01-26,6634,Товар4,4,25.26
2023-12-16,3143,Товар1,3,25.64
2024-06-07,3514,Товар5,3,82.7
2024-04-13,1650,Товар3,10,38.68
2024-02-06,3486,Товар5,4,29.08
2023-08-31,4234,Товар2,4,23.03
2024-07-21,6537,Товар5,10,35.68
2024-04-23,2838,Товар5,4,33.38
2024-06-22,3262,Товар1,2,10.6
2024-02-09,2922,Товар4,9,54.11
2024-04-10,9259,Товар4,3,96.27
2023-08-01,8647,Товар2,2,15.73
2023-09-06,5521,Товар5,5,26.6
2024-03-06,2714,Товар4,6,35.86
2023-10-07,8677,Товар1,9,17.59
2024-06-23,2997,Товар4,8,40.54
2023-09-30,5482,Товар5,8,91.74
2023-09-06,9140,Товар3,7,80.67
2024-03-24,8497,Товар3,9,68.51
2023-10-02,6761,Товар2,10,83.55
2023-10-10,6587,Товар5,5,68.47
2024-04-07,6180,Товар3,4,24.17
2023-10-27,7506,Товар5,6,53.61
2023-12-19,6585,Товар2,3,50.93
2024-06-09,2562,Товар1,4,61.02
2024-07-17,4278,Товар5,10,56.5
2023-10-26,9982,Товар4,10,28.98
2023-12-13,4040,Товар4,2,81.35
2024-04-19,8133,Товар1,3,54.79
2023-08-08,4800,Товар3,6,28.99
